	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
647	{76802: 7}	{113255: 7}														
648	{76802: 7}	{113255: 7}														
649	{76802: 7}	{113255: 7}														
650	{76802: 7}	{113255: 7}														
651	{76802: 7}	{113255: 7}														
652	{55826: 7}	{70996: 7}														
653	{76802: 7}	{113255: 7}														
654	{55826: 7}	{70996: 7}														
655	{55826: 7}	{70996: 7}														
656	{55826: 7}	{70996: 7}														
657	{55826: 7}	{70996: 7}														
658	{55826: 7}	{70996: 7}														
659	{55826: 7}	{70996: 7}														
660	{55826: 7}	{70996: 7}														
661	{55826: 7}	{70996: 7}														
662	{70996: 7}															
663	{55826: 7}	{70996: 7}														
664	{76802: 7}															
665	{70996: 14}															
666	{76802: 7}															
667	{55826: 91}															
668	{55826: 63}	{76802: 7}														
669	{76802: 7}	{113255: 7}														
670	{76802: 7}	{113255: 7}														
671	{76802: 7}	{113255: 7}														
672	{76802: 7}	{113255: 7}														
673	{76802: 7}	{113255: 7}														
674	{76802: 7}	{113255: 7}														
675	{70996: 15}															
676	{76802: 7}	{113255: 7}														
677	{76802: 7}	{113255: 7}														
678	{76802: 7}	{113255: 7}														
679	{55826: 7}	{70996: 7}														
680	{55826: 7}	{70996: 7}														
681	{55826: 7}	{70996: 7}														
682	{55826: 7}	{70996: 7}														
683	{55826: 7}	{70996: 7}														
684	{55826: 7}	{70996: 7}														
685	{55826: 7}	{70996: 7}														
686	{55826: 7}	{70996: 7}														
687	{55826: 7}	{70996: 7}														
688	{70996: 7}															
689	{76802: 7}															
690	{55826: 7}	{70996: 7}														
691	{70996: 14}															
692	{76802: 7}	{113255: 7}														
693	{76802: 7}	{113255: 7}														
694	{76802: 7}	{113255: 7}														
695	{76802: 7}	{113255: 7}														
696	{76802: 7}	{113255: 7}														
697	{55826: 7}	{70996: 7}														
698	{10655: 7}															
699	{55826: 7}	{70996: 7}														
700	{55826: 7}	{70996: 7}														
701	{55826: 7}	{70996: 7}														
702	{55826: 7}	{70996: 7}														
703	{55826: 7}	{70996: 7}														
704	{55826: 7}	{70996: 7}														
705	{55826: 7}	{70996: 7}														
706	{55826: 7}	{70996: 7}														
707	{70996: 7}															
708	{55826: 7}	{70996: 7}														
709	{70996: 14}															
710	{10655: 1}															
711	{70996: 28}															
712	{76802: 28}															
713	{70996: 28}															
714	{76802: 24}	{113255: 24}														
715	{55826: 28}	{70996: 28}	{113255: 28}													
716	{55826: 28}	{70996: 28}														
717	{76802: 7}	{113255: 7}														
718	{76802: 7}	{113255: 7}														
719	{76802: 7}	{113255: 7}														
720	{76802: 7}	{113255: 7}														
721	{76802: 7}	{113255: 7}														
722	{76802: 7}	{113255: 7}														
723	{76802: 7}	{113255: 7}														
724	{76802: 7}	{113255: 7}														
725	{76802: 7}	{113255: 7}														
726	{76802: 7}	{113255: 7}														
727	{55826: 7}	{70996: 7}														
728	{55826: 7}	{70996: 7}														
729	{55826: 7}	{70996: 7}														
730	{55826: 7}	{70996: 7}														
731	{55826: 7}	{70996: 7}														
732	{55826: 7}	{70996: 7}														
733	{55826: 7}	{70996: 7}														
734	{70996: 7}															
735	{55826: 7}	{70996: 7}														
736	{76802: 7}															
737	{55826: 7}	{70996: 7}														
738	{55826: 7}	{70996: 7}														
739	{70996: 14}															
740	{55826: 154}	{76802: 7}														
741	{76802: 7}	{113255: 7}														
742	{76802: 7}	{113255: 7}														
743	{55826: 7}	{70996: 7}														
744	{76802: 7}	{113255: 7}														
745	{76802: 7}	{113255: 7}														
746	{70996: 14}															
747	{55826: 7}	{70996: 7}														
748	{55826: 7}	{70996: 7}														
